rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,cloudflare.com,Technology
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,facebook.com,Social Networks
8,amazonaws.com,Technology
9,googlevideo.com,Search Engines;Video Streaming
10,amazon.com,Ecommerce
11,fbcdn.net,Social Networks
12,instagram.com,Social Networks
13,youtube.com,Video Streaming
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,doubleclick.net,Advertisements
16,netflix.com,Movies;Video Streaming
17,ntp.org,Technology;Government/Legal
18,akadns.net,Content Servers
19,googleusercontent.com,Content Servers
20,apple-dns.net,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,live.com,Technology;Webmail
23,icloud.com,File Sharing;Content Servers
24,bing.com,Search Engines
25,tiktokcdn.com,Content Servers;Social Networks
26,cloudfront.net,Content Servers;Science;Technology
27,tiktokv.com,Social Networks;Video Streaming
28,akamai.net,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,yahoo.com,News & Media
31,ytimg.com,Content Servers
32,cloudflare-dns.com,Content Servers
33,ui.com,Technology
34,akamaiedge.net,Content Servers
35,gvt2.com,Content Servers
36,cdninstagram.com,Content Servers
37,spotify.com,Audio Streaming
38,samsung.com,Home & Garden;Technology
39,gvt1.com,Content Servers
40,wikipedia.org,Education;Reference
41,office.com,Business
42,roblox.com,Gaming;Safe for Kids
43,fastly.net,Information Security;Information Technology;Technology
44,dns.google,Information Technology
45,one.one,Information Technology
46,google-analytics.com,Business;Technology
47,a2z.com,Content Servers
48,steamserver.net,Gaming;Content Servers
49,app-measurement.com,APIs
50,googletagmanager.com,Content Servers
51,baidu.com,Search Engines
52,criteo.com,Business
53,amazon-adsystem.com,Advertisements
54,3gppnetwork.org,Content Servers
55,applovin.com,Business;Technology
56,msftncsi.com,Content Servers
57,msn.com,News & Media
58,googleadservices.com,Advertisements
59,app-analytics-services.com,Content Servers
60,trafficmanager.net,Information Technology;Content Servers
61,unity3d.com,Gaming;Technology
62,snapchat.com,Photography;Social Networks
63,appsflyersdk.com,Content Servers;APIs
64,azure.com,Technology
65,ggpht.com,Content Servers
66,sentry.io,Business
67,windows.com,Information Technology
68,rubiconproject.com,Business;Technology
69,windows.net,Technology
70,linkedin.com,Professional Networking
71,microsoftonline.com,Technology
72,tiktokcdn-us.com,Content Servers
73,adtrafficquality.google,Information Security
74,xiaomi.com,Technology
75,pubmatic.com,Business;Technology
76,whatsapp.com,Instant Messengers;Internet Phone & VOIP
77,amazon.dev,Content Servers
78,playstation.net,Gaming
79,qq.com,News & Media
80,skype.com,Instant Messengers;Internet Phone & VOIP
81,windowsupdate.com,Information Technology;Business
82,byteconnect.io,Business
83,vungle.com,Business;Technology
84,taboola.com,Business;Advertisements
85,aws.dev,Content Servers
86,adsrvr.org,Advertisements
87,digicert.com,Information Security
88,adnxs.com,Content Servers
89,miui.com,Technology
90,android.com,Technology
91,doubleverify.com,Business;Technology
92,kwai-pro.com,Content Servers
93,gmail.com,Webmail
94,cdn-apple.com,Content Servers
95,inmobi.com,Business
96,avast.com,Technology
97,avsxappcaptiveportal.com,Content Servers
98,capcutapi.com,Content Servers
99,msftconnecttest.com,Content Servers
100,nist.gov,Government/Legal
